#Acq. time (s)=	5
#Accumulations=	5
#Range (cm-¹)=	100...3500
#Windows=	4
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	25%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	verificaciones
#Sample=	at3
#Site=	plain
#Title=	bolusat3plain
#Remark=	com
#Date=	16.01.2026 17:05
#Acquired=	16.01.2026 17:05:33
1421.87	26
1422.94	27.5
1424.01	28
1425.08	24.5
1426.15	28.5
1427.22	27
1428.28	28
1429.35	28
1430.42	22.5
1431.49	21
1432.56	26.5
1433.63	27
1434.7	27
1435.76	26
1436.83	25.5
1437.9	27.5
1438.97	25
1440.03	27.5
1441.1	27
1442.17	27
1443.23	23
1444.3	26.5
1445.37	23
1446.43	28
1447.5	23.5
1448.57	25
1449.63	22.5
1450.7	22.5
1451.76	28
1452.83	23.5
1453.89	28
1454.96	27.5
1456.02	24
1457.09	27
1458.15	27
1459.22	25.5
1460.28	25.5
1461.34	28
1462.41	28.5
1463.47	26.5
1464.53	25.5
1465.6	25
1466.66	25.5
1467.72	26
1468.78	25
1469.85	27
1470.91	27.5
1471.97	24.5
1473.03	24
1474.1	24
1475.16	22
1476.22	21.5
1477.28	21.5
1478.34	22.5
1479.4	25
1480.46	24.5
1481.52	23
1482.58	23.5
1483.65	26
1484.71	27
1485.77	24
1486.82	24.5
1487.89	27
1488.94	22
1490	25.5
1491.06	20.5
1492.12	24
1493.18	22
1494.24	22
1495.3	26.5
1496.36	28
1497.41	23
1498.47	25
1499.53	26
1500.59	22
1501.65	28
1502.7	27
1503.76	27
1504.82	24.5
1505.87	23
1506.93	30
1507.99	28.5
1509.04	24
1510.1	22.5
1511.16	26
1512.21	26
1513.27	29
1514.32	26
1515.38	19.5
1516.43	26.5
1517.49	23.5
1518.54	24
1519.6	26
1520.65	24.5
1521.71	24.5
1522.76	21.5
1523.81	23
1524.87	23
1525.92	24.5
1526.98	24
1528.03	24
1529.08	23.5
1530.14	27
1531.19	25.5
1532.24	27
1533.29	26.5
1534.35	24
1535.4	26
1536.45	29.5
1537.5	25
1538.55	24.5
1539.61	25.5
1540.66	26
1541.71	25
1542.76	25.5
1543.81	26
1544.86	26
1545.91	26
1546.96	23.5
1548.01	21.5
1549.06	25
1550.11	22.5
1551.16	26
1552.21	30.5
1553.26	26
1554.31	26.5
1555.36	29.5
1556.41	24
1557.46	23
1558.5	24
1559.55	27.5
1560.6	24
1561.65	24
1562.7	26.5
1563.74	26.5
1564.79	22
1565.84	25.5
1566.89	24
1567.93	26.5
1568.98	25
1570.03	27
1571.07	25.5
1572.12	22.5
1573.17	25
1574.21	25
1575.26	25.5
1576.3	27.5
1577.35	25
1578.4	25.5
1579.44	29.5
1580.49	23
1581.53	24
1582.58	30
1583.62	24
1584.66	22
1585.71	27
1586.75	21
1587.8	25
1588.84	22
1589.88	22.5
1590.93	25.5
1591.97	25.5
1593.01	23
1594.06	26.5
1595.1	29.5
1596.14	25
1597.18	24.5
1598.23	26
1599.27	21.5
1600.31	25.5
1601.35	24
1602.39	24
1603.44	27
1604.48	24
1605.52	25
1606.56	25
1607.6	23.5
1608.64	21
1609.68	24
1610.72	22
1611.76	25
1612.8	21
1613.84	22
1614.88	22
1615.92	22.5
1616.96	26
1618	27
1619.04	21
1620.08	25
1621.12	26.5
1622.16	26.5
1623.19	22.5
1624.23	26.5
1625.27	27.5
1626.31	26.5
1627.35	25.5
1628.38	24
1629.42	24
1630.46	27
1631.49	23.5
1632.53	26.5
1633.57	26
1634.6	29
1635.64	22
1636.68	27
1637.71	25.5
1638.75	25
1639.79	23.5
1640.82	27.5
1641.86	21
1642.89	23
1643.93	23
1644.96	28.5
1646	30
1647.03	26
1648.07	24.5
1649.1	24
1650.13	23
1651.17	24.5
1652.2	28
1653.24	27.5
1654.27	21
1655.3	27
1656.34	24
1657.37	24.5
1658.4	28.5
1659.43	24.5
1660.47	24.5
1661.5	25
1662.53	27
1663.56	24.5
1664.6	26
1665.63	28
1666.66	27
1667.69	28.5
1668.72	26.5
1669.75	24
1670.78	20.5
1671.81	25.5
1672.85	23
1673.88	26.5
1674.91	26
1675.94	27
1676.97	24
1678	25
1679.03	21
1680.06	26.5
1681.09	25.5
1682.11	26.5
1683.14	18
1684.17	25
1685.2	26.5
1686.23	25
1687.26	24
1688.29	25.5
1689.31	27
1690.34	22
1691.37	24
1692.4	20
1693.42	25
1694.45	24.5
1695.48	24
1696.51	27
1697.53	24.5
1698.56	22.5
1699.59	22
1700.61	22
1701.64	29.5
1702.66	29.5
1703.69	23
1704.72	23
1705.74	24
1706.77	22
1707.79	26.5
1708.82	27
1709.84	26
1710.87	25.5
1711.89	22.5
1712.91	20.5
1713.94	21
1714.96	24.5
1715.99	26
1717.01	27
1718.03	25
1719.06	25.5
1720.08	25
1721.1	24
1722.13	25.5
1723.15	25.5
1724.17	25.5
1725.19	27
1726.22	25.5
1727.24	27
1728.26	21
1729.28	26
1730.3	23
1731.33	26
1732.35	21.5
1733.37	26.5
1734.39	22
1735.41	23.5
1736.43	23.5
1737.45	25
1738.47	24
1739.49	27
1740.51	20.5
1741.53	28.5
1742.55	23
1743.57	22.5
1744.59	23.5
1745.61	25.5
1746.63	28
1747.65	19.5
1748.67	25
1749.69	22
1750.7	30.5
1751.72	26
1752.74	26
1753.76	25.5
1754.78	29
1755.79	23
1756.81	28
1757.83	23.5
1758.85	27
1759.86	22.5
1760.88	24
1761.9	24
1762.91	26.5
1763.93	28
1764.95	23.5
1765.96	27
1766.98	20.5
1767.99	21
1769.01	25
1770.02	25
1771.04	26.5
1772.06	22
1773.07	25.5
1774.09	29
1775.1	24
1776.11	25
1777.13	26.5
1778.14	26.5
1779.16	24.5
1780.17	23.5
1781.18	26.5
1782.2	24
1783.21	22
1784.22	29
1785.24	23
1786.25	26
1787.26	24.5
1788.28	28.5
1789.29	23
1790.3	21.5
1791.31	26
1792.33	22.5
1793.34	26
1794.35	27
1795.36	22
1796.37	25.5
1797.38	22
1798.39	25.5
1799.4	24.5
1800.42	22
1801.43	22.5
